cycle_index,city,timestamp,lat,lon,temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,aqi,pm2_5,pm10,no2,o3,so2,co,hour,day_of_week,day_of_month,month,city_encoded
112,Rabat,2026-05-05 09:03:17.026313,34.0209,-6.8416,14.37,14.47,100.0,1016.0,0.0,0.0,40.0,Clouds,scattered clouds,2.0,3.53,7.52,3.74,86.15,3.51,115.7,9.0,1.0,5.0,5.0,4
112,Tanger,2026-05-05 09:03:26.762605,35.7595,-5.834,15.74,15.38,77.0,1016.0,3.09,180.0,20.0,Clouds,few clouds,2.0,2.43,6.73,4.86,81.8,1.51,120.44,9.0,1.0,5.0,5.0,5
113,Agadir,2026-05-05 10:03:48.139050,30.4278,-9.5981,20.06,20.03,73.0,1014.0,3.24,146.0,99.0,Clouds,overcast clouds,2.0,3.54,12.46,0.56,90.92,0.94,115.62,10.0,1.0,5.0,5.0,0
113,Casablanca,2026-05-05 10:03:32.060693,33.5731,-7.5898,17.89,17.28,59.0,1016.0,2.57,90.0,40.0,Clouds,scattered clouds,2.0,4.22,11.91,2.15,92.48,3.25,114.52,10.0,1.0,5.0,5.0,1
113,Fes,2026-05-05 10:03:41.721910,34.0181,-5.0078,13.95,13.39,76.0,1016.0,3.09,300.0,75.0,Clouds,broken clouds,1.0,3.02,5.45,1.23,43.18,0.23,95.77,10.0,1.0,5.0,5.0,2
113,Marrakech,2026-05-05 10:03:38.490037,31.6295,-7.9811,18.98,18.71,68.0,1015.0,1.03,0.0,0.0,Clear,clear sky,2.0,6.73,15.87,3.45,74.1,1.14,106.2,10.0,1.0,5.0,5.0,3
113,Rabat,2026-05-05 10:03:35.285660,34.0209,-6.8416,18.37,18.14,72.0,1017.0,2.06,50.0,40.0,Clouds,scattered clouds,2.0,3.71,7.83,3.36,88.29,4.12,114.56,10.0,1.0,5.0,5.0,4
113,Tanger,2026-05-05 10:03:44.934141,35.7595,-5.834,17.74,17.35,68.0,1016.0,3.09,200.0,40.0,Clouds,scattered clouds,2.0,2.42,6.32,4.4,84.28,1.59,120.44,10.0,1.0,5.0,5.0,5
114,Agadir,2026-05-05 11:04:07.017834,30.4278,-9.5981,22.06,22.15,70.0,1014.0,3.02,166.0,86.0,Clouds,overcast clouds,2.0,3.78,12.95,0.53,91.55,0.91,115.53,11.0,1.0,5.0,5.0,0
114,Casablanca,2026-05-05 11:03:50.580507,33.5731,-7.5898,17.89,17.28,59.0,1017.0,2.57,60.0,75.0,Clouds,broken clouds,3.0,4.25,11.34,1.25,101.12,3.63,112.26,11.0,1.0,5.0,5.0,1
114,Fes,2026-05-05 11:04:00.363006,34.0181,-5.0078,14.95,14.38,72.0,1016.0,2.57,330.0,75.0,Clouds,broken clouds,2.0,3.11,5.85,0.34,77.1,0.53,99.33,11.0,1.0,5.0,5.0,2
114,Marrakech,2026-05-05 11:03:57.087462,31.6295,-7.9811,19.98,19.6,60.0,1015.0,1.54,220.0,0.0,Clear,clear sky,2.0,5.44,13.95,1.98,89.09,1.21,104.45,11.0,1.0,5.0,5.0,3
